2026-09-26T00:56:00.578+09:00  INFO 57660 --- [notenest-backend] [           main] com.notenest.NoteNestApplication         : Starting NoteNestApplication using Java 17.0.12 with PID 57660
[BATCH] job=auction-close targets=50 processed=50 failed=0 elapsedMs=9741 heapBeforeMb=165 heapAfterMb=123
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=527 heapBeforeMb=123 heapAfterMb=128
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=4 heapBeforeMb=128 heapAfterMb=128
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=495 heapBeforeMb=128 heapAfterMb=133
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=7 heapBeforeMb=133 heapAfterMb=133
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=449 heapBeforeMb=133 heapAfterMb=138
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=4 heapBeforeMb=94 heapAfterMb=94
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=420 heapBeforeMb=95 heapAfterMb=119
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=5 heapBeforeMb=105 heapAfterMb=106
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=389 heapBeforeMb=107 heapAfterMb=141
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=4 heapBeforeMb=183 heapAfterMb=183
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=392 heapBeforeMb=183 heapAfterMb=210
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=108 heapAfterMb=108
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=239 heapBeforeMb=108 heapAfterMb=125
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=191 heapAfterMb=191
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=221 heapBeforeMb=191 heapAfterMb=216
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=4 heapBeforeMb=78 heapAfterMb=80
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=203 heapBeforeMb=89 heapAfterMb=104
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=170 heapAfterMb=170
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=205 heapBeforeMb=170 heapAfterMb=186
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=5 heapBeforeMb=178 heapAfterMb=178
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=243 heapBeforeMb=178 heapAfterMb=204
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=2 heapBeforeMb=116 heapAfterMb=116
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=216 heapBeforeMb=116 heapAfterMb=142
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=6 heapBeforeMb=193 heapAfterMb=194
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=194 heapBeforeMb=196 heapAfterMb=212
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=104 heapAfterMb=104
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=252 heapBeforeMb=104 heapAfterMb=109
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=4 heapBeforeMb=109 heapAfterMb=109
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=308 heapBeforeMb=109 heapAfterMb=113
