2026-09-25T14:23:02.771+09:00  INFO 56896 --- [notenest-backend] [           main] com.notenest.NoteNestApplication         : Starting NoteNestApplication using Java 17.0.12 with PID 56896
[BATCH] job=auction-close targets=50 processed=50 failed=0 elapsedMs=13174 heapBeforeMb=71 heapAfterMb=937
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=2530 heapBeforeMb=1033 heapAfterMb=377
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=5 heapBeforeMb=377 heapAfterMb=377
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=2409 heapBeforeMb=377 heapAfterMb=387
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=387 heapAfterMb=387
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=2350 heapBeforeMb=387 heapAfterMb=532
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=546 heapAfterMb=546
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=2416 heapBeforeMb=547 heapAfterMb=388
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=2 heapBeforeMb=173 heapAfterMb=184
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=3768 heapBeforeMb=189 heapAfterMb=619
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=2 heapBeforeMb=206 heapAfterMb=218
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4387 heapBeforeMb=234 heapAfterMb=652
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=2 heapBeforeMb=150 heapAfterMb=150
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=3714 heapBeforeMb=150 heapAfterMb=745
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=5 heapBeforeMb=404 heapAfterMb=404
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4463 heapBeforeMb=408 heapAfterMb=649
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=920 heapAfterMb=934
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4753 heapBeforeMb=962 heapAfterMb=681
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=2 heapBeforeMb=879 heapAfterMb=879
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=3845 heapBeforeMb=879 heapAfterMb=695
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=4 heapBeforeMb=808 heapAfterMb=808
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4606 heapBeforeMb=823 heapAfterMb=628
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=535 heapAfterMb=545
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4289 heapBeforeMb=551 heapAfterMb=446
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=2 heapBeforeMb=785 heapAfterMb=793
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4150 heapBeforeMb=798 heapAfterMb=689
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=2 heapBeforeMb=696 heapAfterMb=696
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=2279 heapBeforeMb=696 heapAfterMb=900
