2026-09-25T11:07:49.229+09:00  INFO 13708 --- [notenest-backend] [           main] com.notenest.NoteNestApplication         : Starting NoteNestApplication using Java 21.0.12 with PID 13708
[BATCH] job=auction-close targets=50 processed=50 failed=0 elapsedMs=17421 heapBeforeMb=67 heapAfterMb=776
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4471 heapBeforeMb=873 heapAfterMb=1120
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=6 heapBeforeMb=1120 heapAfterMb=1120
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4067 heapBeforeMb=1120 heapAfterMb=597
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=597 heapAfterMb=597
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4019 heapBeforeMb=597 heapAfterMb=850
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=850 heapAfterMb=850
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=3795 heapBeforeMb=850 heapAfterMb=1030
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=5 heapBeforeMb=1078 heapAfterMb=1078
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4129 heapBeforeMb=1078 heapAfterMb=832
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=184 heapAfterMb=185
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=6084 heapBeforeMb=185 heapAfterMb=419
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=6 heapBeforeMb=387 heapAfterMb=416
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=5852 heapBeforeMb=419 heapAfterMb=380
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=5 heapBeforeMb=491 heapAfterMb=493
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=5523 heapBeforeMb=495 heapAfterMb=497
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=7 heapBeforeMb=688 heapAfterMb=701
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=6182 heapBeforeMb=704 heapAfterMb=664
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=8 heapBeforeMb=588 heapAfterMb=589
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=7041 heapBeforeMb=605 heapAfterMb=701
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=6 heapBeforeMb=377 heapAfterMb=377
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=5833 heapBeforeMb=380 heapAfterMb=404
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=5 heapBeforeMb=404 heapAfterMb=404
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4825 heapBeforeMb=404 heapAfterMb=642
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=8 heapBeforeMb=988 heapAfterMb=988
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=6224 heapBeforeMb=990 heapAfterMb=585
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=7 heapBeforeMb=378 heapAfterMb=392
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=6656 heapBeforeMb=393 heapAfterMb=510
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=2 heapBeforeMb=236 heapAfterMb=236
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=5785 heapBeforeMb=236 heapAfterMb=357
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=5 heapBeforeMb=357 heapAfterMb=357
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=5066 heapBeforeMb=357 heapAfterMb=549
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=5 heapBeforeMb=549 heapAfterMb=549
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4966 heapBeforeMb=549 heapAfterMb=744
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=746 heapAfterMb=746
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4731 heapBeforeMb=746 heapAfterMb=475
[BATCH] job=auction-close targets=0 processed=0 failed=0 elapsedMs=3 heapBeforeMb=504 heapAfterMb=504
[BATCH] job=payment-followup targets=34 processed=34 failed=0 elapsedMs=4425 heapBeforeMb=504 heapAfterMb=723
