time,container_mem_mib,container_limit_mib,cpu,heap_used_mib,heap_max_mib
2026-09-26T16:32:18,1090.6,1536.0,0.78%,295.9,512.0
2026-09-26T16:32:20,1092.6,1536.0,0.70%,295.9,512.0
2026-09-26T16:32:22,1093.6,1536.0,0.78%,295.9,512.0
2026-09-26T16:32:24,1093.6,1536.0,0.64%,295.9,512.0
2026-09-26T16:32:27,1094.7,1536.0,0.75%,295.9,512.0
2026-09-26T16:32:29,1096.7,1536.0,0.91%,299.9,512.0
2026-09-26T16:32:31,1097.7,1536.0,0.88%,299.9,512.0
2026-09-26T16:32:34,1098.8,1536.0,0.60%,299.9,512.0
2026-09-26T16:32:37,1099.8,1536.0,0.75%,303.9,512.0
2026-09-26T16:32:39,1115.1,1536.0,0.82%,327.9,512.0
2026-09-26T16:32:41,1115.1,1536.0,0.66%,327.9,512.0
2026-09-26T16:32:43,1116.2,1536.0,0.56%,331.9,512.0
2026-09-26T16:32:46,1117.2,1536.0,0.63%,331.9,512.0
2026-09-26T16:32:48,1118.2,1536.0,0.56%,331.9,512.0
2026-09-26T16:32:51,1119.2,1536.0,0.54%,331.9,512.0
2026-09-26T16:32:53,1120.3,1536.0,0.60%,335.9,512.0
2026-09-26T16:32:56,1121.3,1536.0,0.50%,335.9,512.0
2026-09-26T16:32:58,1125.4,1536.0,0.74%,343.9,512.0
2026-09-26T16:33:00,1125.4,1536.0,0.76%,343.9,512.0
2026-09-26T16:33:02,1126.4,1536.0,0.64%,343.9,512.0
2026-09-26T16:33:05,1138.7,1536.0,56.71%,120.0,512.0
2026-09-26T16:33:08,1084.4,1536.0,3.70%,124.0,512.0
2026-09-26T16:33:10,1084.4,1536.0,0.62%,124.0,512.0
2026-09-26T16:33:12,1084.4,1536.0,0.56%,128.0,512.0
2026-09-26T16:33:14,1084.4,1536.0,0.59%,128.0,512.0
2026-09-26T16:33:17,1084.4,1536.0,0.55%,128.0,512.0
2026-09-26T16:33:19,1084.4,1536.0,0.59%,128.0,512.0
2026-09-26T16:33:22,1084.4,1536.0,0.58%,128.0,512.0
2026-09-26T16:33:24,1084.4,1536.0,0.51%,128.0,512.0
2026-09-26T16:33:27,1084.4,1536.0,0.56%,128.0,512.0
2026-09-26T16:33:29,1084.4,1536.0,0.59%,128.0,512.0
2026-09-26T16:33:31,1084.4,1536.0,0.90%,128.0,512.0
2026-09-26T16:33:33,MARK,app start (reindex 10000 on startup, reconcile +20s),,,
2026-09-26T16:33:33,1084.4,1536.0,0.47%,128.0,512.0
2026-09-26T16:33:36,1084.4,1536.0,0.54%,132.0,512.0
2026-09-26T16:33:39,1084.4,1536.0,0.66%,132.0,512.0
2026-09-26T16:33:41,1084.4,1536.0,0.50%,132.0,512.0
2026-09-26T16:33:43,1084.4,1536.0,0.57%,132.0,512.0
2026-09-26T16:33:46,1084.4,1536.0,0.52%,132.0,512.0
2026-09-26T16:33:48,1084.4,1536.0,0.45%,132.0,512.0
2026-09-26T16:33:50,1084.4,1536.0,0.47%,132.0,512.0
2026-09-26T16:33:53,1157.1,1536.0,372.84%,272.5,512.0
2026-09-26T16:33:56,1175.6,1536.0,0.61%,141.8,512.0
2026-09-26T16:33:58,1175.6,1536.0,0.44%,141.8,512.0
2026-09-26T16:34:00,1170.4,1536.0,0.46%,141.8,512.0
2026-09-26T16:34:02,1170.4,1536.0,0.51%,141.8,512.0
2026-09-26T16:34:05,1170.4,1536.0,0.51%,141.8,512.0
2026-09-26T16:34:08,1170.4,1536.0,0.96%,145.8,512.0
2026-09-26T16:34:10,1170.4,1536.0,0.47%,145.8,512.0
2026-09-26T16:34:12,1234.9,1536.0,145.20%,337.8,512.0
2026-09-26T16:34:14,MARK,reindex+reconcile done,,,
2026-09-26T16:34:14,1222.7,1536.0,0.56%,337.8,512.0
2026-09-26T16:34:17,1222.7,1536.0,1.67%,337.8,512.0
2026-09-26T16:34:19,1222.7,1536.0,0.57%,337.8,512.0
2026-09-26T16:34:21,MARK,k6 es search cold start,,,
2026-09-26T16:34:21,1225.7,1536.0,26.67%,349.8,512.0
2026-09-26T16:34:24,1232.9,1536.0,118.90%,152.5,512.0
2026-09-26T16:34:27,1243.1,1536.0,56.09%,168.0,512.0
2026-09-26T16:34:29,1238.0,1536.0,39.75%,268.0,512.0
2026-09-26T16:34:31,1240.1,1536.0,57.78%,368.0,512.0
2026-09-26T16:34:33,1239.0,1536.0,41.49%,184.0,512.0
2026-09-26T16:34:36,1247.2,1536.0,35.36%,320.0,512.0
2026-09-26T16:34:38,1239.0,1536.0,40.73%,127.0,512.0
2026-09-26T16:34:41,1247.2,1536.0,50.42%,227.0,512.0
2026-09-26T16:34:43,1247.2,1536.0,36.23%,331.0,512.0
2026-09-26T16:34:46,1248.3,1536.0,42.91%,175.1,512.0
2026-09-26T16:34:48,1248.3,1536.0,24.13%,279.1,512.0
2026-09-26T16:34:50,1249.3,1536.0,27.13%,379.1,512.0
2026-09-26T16:34:52,MARK,k6 es search cold end,,,
2026-09-26T16:34:52,MARK,k6 es search warm1 start,,,
2026-09-26T16:34:52,1249.3,1536.0,14.05%,155.2,512.0
2026-09-26T16:34:55,1249.3,1536.0,31.06%,295.2,512.0
2026-09-26T16:34:58,1248.3,1536.0,24.51%,391.2,512.0
